"","GSM2544275","GSM2544276","GSM2544277","GSM2544278","GSM2544279","GSM2544280","GSM2544281","GSM2544282","GSM2544283","GSM2544284","GSM2544285","GSM2544286","GSM2544287","GSM2544288","GSM2544289","GSM2544290","GSM2544291","GSM2544292","GSM2544293","GSM2544294","GSM2544295","GSM2544296","GSM2544297","GSM2544298","GSM2544299","GSM2544300","GSM2544301","GSM2544302","GSM2544303","GSM2544304","GSM2544305","GSM2544306","GSM2544307","GSM2544308","GSM2544309","GSM2544310","GSM2544311","GSM2544312","GSM2544313","GSM2544314","GSM2544315","GSM2544316","GSM2544317","GSM2544318","GSM2544319","GSM2544320","GSM2544321","GSM2544322","GSM2544323","GSM2544324","GSM2544325","GSM2544326","GSM2544327","GSM2544328","GSM2544329","GSM2544330","GSM2544331","GSM2544332","GSM2544333","GSM2544334","GSM2544335"
"---",4.94623193485325,4.92262686999709,4.94896273426149,4.89290516154598,4.96625218740919,4.97345122553034,4.92993793834042,5.00677293583071,5.0358665762291,4.92689988825192,5.02918236969329,4.97088885161018,4.94670240562175,4.94848084088447,4.91072514516683,4.99462896626423,4.95275344041423,5.01662982801892,4.99560360024305,5.0573272266399,4.97198410588329,5.02144938023406,4.97282168705255,4.87605976435157,5.02398619633847,4.86404097508784,4.93992042189523,4.90749329405859,4.96629849893007,5.03492688584789,4.98002740390458,4.95487007291364,4.94651510633239,5.00350156711489,5.01803994003117,5.03057800227195,4.96700310966106,4.96221775975484,4.99494554724857,4.99937443822154,4.96762392782606,4.8817555900457,4.89262895464032,4.86357661215756,4.89012632261644,4.90619365017304,4.89077389480358,4.89696713074261,4.86891558291285,4.82144025361266,4.90069936464745,4.84564377063905,4.95022774390405,4.85082787942831,4.87291091511901,4.89374892241038,4.84996781549679,4.84632162919716,4.86533153594167,4.86428075212004,4.9423963833778
"A1BG",4.70993,4.87877,4.44676,4.97774,5.07315,4.73658,5.01586,4.74531,4.78373,4.64185,4.71529,4.45535,4.72674,4.54306,4.7511,4.76761,4.68337,4.81819,4.70563,4.93647,4.7311,4.70948,4.70258,4.70756,4.83499,4.72013,4.76868,4.84645,4.67857,4.70441,4.54284,4.71602,4.74711,4.74183,4.40037,5.11945,4.86856,4.49802,4.56475,4.8322,4.90341,4.80039,4.68452,4.49429,4.84025,4.65046,4.71031,4.95574,4.7035,4.64297,4.55639,4.71106,4.56469,4.73686,4.78202,4.71727,4.86108,4.91639,4.77586,4.77317,4.63809
"A1BG-AS1",3.58468,4.05482,3.67422,3.99354,3.96676,3.66706,3.73445,3.79461,3.61982,3.84887,3.48113,3.71372,3.97783,3.53675,3.9008,3.93952,3.68544,3.91324,4.15519,4.01986,3.69395,3.49301,3.73666,3.62618,3.71198,3.79285,3.82126,3.84494,3.91119,3.75912,3.5444,3.51352,3.5682,3.48596,3.60474,3.57339,3.60074,3.7629,3.56302,3.67836,3.64759,3.72833,3.97126,3.80848,3.70287,3.59566,3.88947,4.10044,3.74667,3.75772,3.41277,3.79703,3.84573,3.54552,3.79798,3.99812,3.89423,3.82951,3.72102,3.91752,4.01348
"A1CF",5.19993,3.80528,5.28725,6.44209,4.54504,4.83596,5.84376,3.91549,4.7092,6.52693,4.99977,4.72199,5.20057,5.6939,4.9099,4.04266,4.84682,5.86504,3.97116,4.74618,6.26232,4.36548,6.30141,5.31298,4.3045,5.24811,4.90285,4.65056,4.67315,3.70863,5.51937,4.4212,4.57361,3.82904,6.31467,3.9148,4.1076,4.50282,4.93741,4.55421,5.73943,6.08941,5.88945,6.87425,7.47349,7.62443,7.44769,6.96179,5.95236,7.41569,5.83767,4.42609,6.68143,6.15737,6.41809,5.75716,5.96949,6.78433,6.34531,7.25749,6.4827
"A2M",14.9058,15.0791,15.0347,14.4606,14.2874,14.9797,14.953,15.1121,15.0277,14.3154,15.0191,15.036,14.0184,15.4121,14.8702,15.4032,15.0097,15.5477,15.8608,14.8943,15.4405,15.3131,14.8634,15.084,15.6092,14.8456,15.2538,14.6714,14.6272,16.1636,15.6564,15.1435,15.2778,15.9818,15.4388,15.1893,15.789,16.0253,15.2599,16.2367,14.745,14.8586,15.5788,14.7995,14.7407,14.7725,15.029,14.7938,14.8816,15.0845,14.9136,15.2573,14.5597,14.472,14.4615,15.5843,14.5245,14.954,14.9105,15.3951,14.4394
"A2M-AS1",4.46298,4.29599,5.20698,5.21104,4.91402,4.83949,5.04815,4.3488,4.6819,4.57488,4.61779,4.53581,4.88649,4.74053,4.56366,5.05245,4.75595,4.67453,4.51569,4.68834,4.5968,4.77366,4.56346,5.07438,4.63629,4.50486,4.73433,4.77902,4.75792,4.77076,5.16817,4.81669,4.77141,4.14538,4.76079,4.48983,5.34686,4.6,4.68324,4.35113,4.66893,4.47542,5.02054,4.71579,4.8785,4.74371,4.61916,4.47265,4.13853,4.39682,5.15802,4.75042,3.96919,4.34839,4.65678,4.72594,5.05774,4.71544,5.15399,4.53,4.59055
"A2ML1",3.21316,2.95058,2.97402,3.05884,3.04276,2.96264,2.98881,2.99862,3.14494,3.05884,3.10744,3.21238,3.16122,2.99419,3.16767,3.06167,2.9844,2.99995,3.13842,3.09019,3.00713,3.14717,3.04473,3.05884,3.36658,3.05884,3.11647,2.93005,3.26207,2.9844,2.99465,3.04998,2.88636,2.99913,3.05884,3.16715,3.03824,3.02219,3.05884,3.05884,3.06731,3.00017,3.0534,2.9659,2.99655,3.18921,3.08218,3.18097,3.07058,3.00443,3.15648,3.08304,3.2433,3.05884,3.05884,3.02809,2.99696,3.05884,3.05884,3.04912,3.12541
"A2ML1-AS1",5.34754,4.58819,4.76052,5.17426,4.63609,5.39332,4.59348,5.09295,4.85093,5.30744,5.43386,4.85001,5.37144,4.95141,4.66551,4.77983,5.00447,4.82736,5.02589,5.0601,4.97458,4.84387,4.73567,5.25513,4.88922,4.44606,4.90294,4.67073,4.58548,5.06169,4.71424,5.20685,4.79193,4.7361,3.83135,4.91023,4.59574,5.2748,4.9353,4.59276,4.57323,5.1673,5.28853,4.77501,5.19816,5.19447,4.72834,5.77871,4.24307,4.71338,5.35428,4.42602,4.83968,5.23935,4.66915,5.25274,4.56196,4.84816,4.62625,4.74019,4.81018
"A2ML1-AS2",5.68391,5.35806,5.62554,5.53202,5.68652,5.5715,5.59368,5.60486,5.8224,5.63952,5.68913,5.67477,5.65997,5.62463,5.55888,5.63857,5.55762,5.72812,5.66515,6.12464,5.64037,5.60525,5.59906,5.48608,5.7001,5.59992,5.60329,5.42228,5.61927,5.91918,5.82022,5.66617,5.72246,5.7645,5.76918,5.66602,5.65168,5.70665,5.68977,5.58457,5.47459,5.54141,5.4595,5.68395,5.61146,5.65614,5.51556,5.69537,5.43684,5.3552,5.55749,5.50015,5.59048,5.48503,5.66365,5.60951,5.41378,5.47503,5.42995,5.52058,5.59965
"A2MP1",3.13159,3.0491,3.11284,3.16747,3.55455,3.25299,3.15433,3.294475,3.03035,3.08132,3.34196,3.266155,3.1336,3.04118,3.19936,3.186035,2.989665,3.187095,3.38851,3.37941,3.192885,3.32226,3.555705,3.22856,3.61492,3.07921,3.085735,3.11559,3.396835,3.15902,3.310135,3.264625,3.22033,3.307125,3.137305,3.23492,3.224165,3.30724,3.236565,3.15353,3.18994,3.32498,3.230955,3.05624,3.19076,3.28856,3.36208,3.638335,3.14537,3.081375,3.429565,3.331015,3.34472,3.220035,3.26621,3.390105,3.29198,3.13188,3.169885,2.96381,3.549685
